,agent_type,auc,f1_score,feature_importance,fpr,model,model_name,tpr,type_class,feature rank
11,agent,0.18796992481203006,0.4444444444444445,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01315789 0.61842105 0.61842105 0.65789474 0.65789474
 0.71052632 0.71052632 0.81578947 0.81578947 0.88157895 0.88157895
 1.         1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,"[0.         0.         0.         0.14285714 0.14285714 0.28571429
 0.28571429 0.42857143 0.42857143 0.57142857 0.57142857 0.71428571
 0.71428571 1.        ]",Chess,"['analizo_acc_mean', 'analizo_accm_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_lcom4_mean', 'analizo_amloc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_cbo_mean', 'analizo_rfc_mean', 'analizo_sc_mean', 'analizo_npm_mean', 'analizo_mmloc_mean', 'analizo_noc_mean', 'analizo_noa_mean']"
12,agent,0.19374999999999998,0.4,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)",[0.     0.025  0.6125 0.6125 1.     1.    ],"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,[0.  0.  0.  0.5 0.5 1. ],Anac,"['analizo_accm_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_noc_mean', 'analizo_noa_mean', 'analizo_lcom4_mean', 'analizo_dit_mean', 'analizo_anpm_mean', 'analizo_amloc_mean', 'analizo_npm_mean', 'analizo_cbo_mean', 'analizo_rfc_mean', 'analizo_mmloc_mean', 'analizo_acc_mean']"
13,Robot,0.8355263157894737,0.0,"RFE(estimator=XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.32894737 0.36842105 0.42105263 0.46052632 0.47368421
 0.72368421 0.77631579 0.78947368 0.81578947 1.        ]","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=1, gamma=0, learning_rate=0.1, max_delta_step=0,
       max_depth=3, min_child_weight=1, missing=nan, n_estimators=100,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0, reg_lambda=1, scale_pos_weight=1, seed=None,
       silent=True, subsample=1)",Boosted Trees,[0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],Robo-Projects,"['analizo_acc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_rfc_mean', 'analizo_noa_mean', 'analizo_npm_mean', 'analizo_mmloc_mean', 'analizo_accm_mean', 'analizo_cbo_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_nom_mean', 'analizo_noc_mean', 'analizo_lcom4_mean', 'analizo_amloc_mean']"
14,agent,,0.6363636363636364,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Robocup-2D,"['analizo_acc_mean', 'analizo_accm_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_anpm_mean', 'analizo_npm_mean', 'analizo_nom_mean', 'analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_rfc_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_noa_mean', 'analizo_npa_mean', 'analizo_mmloc_mean']"
15,Robot,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Robcup-Other-Leagues,"['analizo_anpm_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_npm_mean', 'analizo_accm_mean', 'analizo_acc_mean', 'analizo_nom_mean', 'analizo_cbo_mean', 'analizo_npa_mean', 'analizo_amloc_mean', 'analizo_sc_mean', 'analizo_noa_mean', 'analizo_lcom4_mean', 'analizo_rfc_mean', 'analizo_mmloc_mean']"
16,non-agent,,0.1875,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Security,"['analizo_acc_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_npa_mean', 'analizo_npm_mean', 'analizo_noa_mean', 'analizo_cbo_mean', 'analizo_lcom4_mean', 'analizo_rfc_mean', 'analizo_anpm_mean', 'analizo_accm_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean', 'analizo_nom_mean']"
17,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Mobile,"['analizo_acc_mean', 'analizo_cbo_mean', 'analizo_dit_mean', 'analizo_lcom4_mean', 'analizo_npa_mean', 'analizo_noc_mean', 'analizo_npm_mean', 'analizo_nom_mean', 'analizo_mmloc_mean', 'analizo_amloc_mean', 'analizo_noa_mean', 'analizo_anpm_mean', 'analizo_rfc_mean', 'analizo_accm_mean', 'analizo_sc_mean']"
18,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Ide,"['analizo_dit_mean', 'analizo_lcom4_mean', 'analizo_noa_mean', 'analizo_noc_mean', 'analizo_npm_mean', 'analizo_nom_mean', 'analizo_anpm_mean', 'analizo_acc_mean', 'analizo_rfc_mean', 'analizo_accm_mean', 'analizo_mmloc_mean', 'analizo_amloc_mean', 'analizo_sc_mean', 'analizo_npa_mean', 'analizo_cbo_mean']"
19,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Finance,"['analizo_accm_mean', 'analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_noc_mean', 'analizo_npa_mean', 'analizo_acc_mean', 'analizo_dit_mean', 'analizo_npm_mean', 'analizo_lcom4_mean', 'analizo_amloc_mean', 'analizo_noa_mean', 'analizo_mmloc_mean', 'analizo_nom_mean', 'analizo_rfc_mean', 'analizo_sc_mean']"
20,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Education,"['analizo_accm_mean', 'analizo_anpm_mean', 'analizo_noc_mean', 'analizo_npm_mean', 'analizo_dit_mean', 'analizo_cbo_mean', 'analizo_amloc_mean', 'analizo_nom_mean', 'analizo_lcom4_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_acc_mean', 'analizo_mmloc_mean', 'analizo_noa_mean', 'analizo_rfc_mean']"
21,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Games,"['analizo_cbo_mean', 'analizo_noc_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_sc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_npa_mean', 'analizo_accm_mean', 'analizo_noa_mean', 'analizo_acc_mean', 'analizo_lcom4_mean', 'analizo_mmloc_mean', 'analizo_amloc_mean', 'analizo_rfc_mean']"
22,non-agent,,0.13333333333333336,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Graphics,"['analizo_anpm_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_npa_mean', 'analizo_acc_mean', 'analizo_noa_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_rfc_mean', 'analizo_lcom4_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_cbo_mean', 'analizo_accm_mean', 'analizo_mmloc_mean']"
23,non-agent,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Robot-Simulation,"['analizo_anpm_mean', 'analizo_dit_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_accm_mean', 'analizo_rfc_mean', 'analizo_noa_mean', 'analizo_acc_mean', 'analizo_cbo_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_npm_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean', 'analizo_noc_mean']"
24,non-agent,,0.18181818181818182,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Audio,"['analizo_accm_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_sc_mean', 'analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_npa_mean', 'analizo_acc_mean', 'analizo_npm_mean', 'analizo_amloc_mean', 'analizo_nom_mean', 'analizo_noa_mean', 'analizo_rfc_mean', 'analizo_mmloc_mean', 'analizo_lcom4_mean']"
25,agent,,0.27272727272727276,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Chess,"['analizo_acc_mean', 'analizo_accm_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_sc_mean', 'analizo_lcom4_mean', 'analizo_npa_mean', 'analizo_noc_mean', 'analizo_noa_mean', 'analizo_amloc_mean', 'analizo_nom_mean', 'analizo_cbo_mean', 'analizo_npm_mean', 'analizo_mmloc_mean', 'analizo_rfc_mean']"
26,agent,,0.5714285714285714,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Anac,"['analizo_acc_mean', 'analizo_accm_mean', 'analizo_cbo_mean', 'analizo_noc_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npa_mean', 'analizo_anpm_mean', 'analizo_noa_mean', 'analizo_npm_mean', 'analizo_dit_mean', 'analizo_rfc_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean']"
27,Robot,,0.0,"RFE(estimator=SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)",,"SGDClassifier(alpha=0.0001, average=False, class_weight=None,
       early_stopping=False, epsilon=0.1, eta0=0.0, fit_intercept=True,
       l1_ratio=0.15, learning_rate='optimal', loss='hinge',
       max_iter=10000, n_iter=None, n_iter_no_change=5, n_jobs=None,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       tol=None, validation_fraction=0.1, verbose=0, warm_start=False)",SGD,,Robo-Projects,"['analizo_acc_mean', 'analizo_anpm_mean', 'analizo_noc_mean', 'analizo_nom_mean', 'analizo_accm_mean', 'analizo_npa_mean', 'analizo_amloc_mean', 'analizo_npm_mean', 'analizo_cbo_mean', 'analizo_sc_mean', 'analizo_dit_mean', 'analizo_lcom4_mean', 'analizo_noa_mean', 'analizo_rfc_mean', 'analizo_mmloc_mean']"
28,agent,0.03786574870912223,0.5454545454545454,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01204819 0.87951807 0.87951807 0.92771084 0.92771084
 0.97590361 0.97590361 0.98795181 0.98795181 0.98795181 0.98795181
 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.14285714 0.14285714 0.28571429
 0.28571429 0.42857143 0.42857143 0.57142857 0.85714286 1.
 1.        ]",Robocup-2D,"['analizo_acc_mean', 'analizo_accm_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_lcom4_mean', 'analizo_npm_mean', 'analizo_nom_mean', 'analizo_noa_mean', 'analizo_anpm_mean', 'analizo_amloc_mean', 'analizo_cbo_mean', 'analizo_rfc_mean', 'analizo_npa_mean', 'analizo_sc_mean', 'analizo_mmloc_mean']"
29,Robot,0.31578947368421056,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01315789 0.25       0.25       0.47368421 0.47368421
 0.52631579 0.52631579 0.93421053 0.93421053 0.96052632 0.96052632
 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.16666667 0.16666667 0.33333333
 0.33333333 0.5        0.5        0.66666667 0.66666667 1.
 1.        ]",Robcup-Other-Leagues,"['analizo_cbo_mean', 'analizo_dit_mean', 'analizo_noc_mean', 'analizo_npm_mean', 'analizo_accm_mean', 'analizo_nom_mean', 'analizo_anpm_mean', 'analizo_npa_mean', 'analizo_lcom4_mean', 'analizo_rfc_mean', 'analizo_amloc_mean', 'analizo_acc_mean', 'analizo_noa_mean', 'analizo_mmloc_mean', 'analizo_sc_mean']"
30,non-agent,0.4574592074592074,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01282051 0.1025641  0.1025641  0.19230769 0.19230769
 0.26923077 0.26923077 0.32051282 0.32051282 0.3974359  0.3974359
 0.51282051 0.51282051 0.70512821 0.71794872 0.71794872 0.88461538
 0.88461538 0.8974359  0.8974359  0.96153846 0.96153846 1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.         0.         0.         0.09090909 0.09090909 0.18181818
 0.18181818 0.27272727 0.27272727 0.36363636 0.36363636 0.45454545
 0.45454545 0.54545455 0.54545455 0.63636364 0.72727273 0.72727273
 0.81818182 0.81818182 0.90909091 0.90909091 1.         1.        ]",Security,"['analizo_acc_mean', 'analizo_anpm_mean', 'analizo_dit_mean', 'analizo_npa_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_lcom4_mean', 'analizo_accm_mean', 'analizo_cbo_mean', 'analizo_noc_mean', 'analizo_rfc_mean', 'analizo_noa_mean', 'analizo_amloc_mean', 'analizo_mmloc_mean', 'analizo_sc_mean']"
31,non-agent,0.2556818181818182,0.0,"RFE(estimator=LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False),
  n_features_to_select=4, step=1, verbose=0)","[0.         0.01298701 0.44155844 0.44155844 0.49350649 0.49350649
 0.58441558 0.5974026  0.76623377 0.76623377 0.77922078 0.77922078
 0.92207792 0.92207792 0.96103896 0.96103896 1.         1.        ]","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)",Logistic Regression,"[0.    0.    0.    0.125 0.125 0.25  0.25  0.375 0.375 0.5   0.5   0.625
 0.625 0.75  0.75  0.875 0.875 1.   ]",Mobile,"['analizo_acc_mean', 'analizo_accm_mean', 'analizo_dit_mean', 'analizo_npa_mean', 'analizo_lcom4_mean', 'analizo_nom_mean', 'analizo_npm_mean', 'analizo_anpm_mean', 'analizo_cbo_mean', 'analizo_mmloc_mean', 'analizo_sc_mean', 'analizo_amloc_mean', 'analizo_rfc_mean', 'analizo_noc_mean', 'analizo_noa_mean']"
