,analizo_acc_mean,analizo_acc_quantile_lower,analizo_acc_quantile_median,analizo_acc_quantile_upper,analizo_accm_mean,analizo_accm_quantile_lower,analizo_accm_quantile_median,analizo_accm_quantile_upper,analizo_amloc_mean,analizo_amloc_quantile_lower,analizo_amloc_quantile_median,analizo_amloc_quantile_upper,analizo_anpm_mean,analizo_anpm_quantile_lower,analizo_anpm_quantile_median,analizo_anpm_quantile_upper,analizo_cbo_mean,analizo_cbo_quantile_lower,analizo_cbo_quantile_median,analizo_cbo_quantile_upper,analizo_dit_mean,analizo_dit_quantile_lower,analizo_dit_quantile_median,analizo_dit_quantile_upper,analizo_lcom4_mean,analizo_lcom4_quantile_lower,analizo_lcom4_quantile_median,analizo_lcom4_quantile_upper,analizo_mmloc_mean,analizo_mmloc_quantile_lower,analizo_mmloc_quantile_median,analizo_mmloc_quantile_upper,analizo_noa_mean,analizo_noa_quantile_lower,analizo_noa_quantile_median,analizo_noa_quantile_upper,analizo_noc_mean,analizo_noc_quantile_lower,analizo_noc_quantile_median,analizo_noc_quantile_upper,analizo_nom_mean,analizo_nom_quantile_lower,analizo_nom_quantile_median,analizo_nom_quantile_upper,analizo_npa_mean,analizo_npa_quantile_lower,analizo_npa_quantile_median,analizo_npa_quantile_upper,analizo_npm_mean,analizo_npm_quantile_lower,analizo_npm_quantile_median,analizo_npm_quantile_upper,analizo_rfc_mean,analizo_rfc_quantile_lower,analizo_rfc_quantile_median,analizo_rfc_quantile_upper,analizo_sc_mean,analizo_sc_quantile_lower,analizo_sc_quantile_median,analizo_sc_quantile_upper,folder,category,agent_type,type
107,1.60207612457,0.0,1.0,2.0,1.85157014973,1.0,1.42857142857,2.25,15.3195721124,4.75,8.666666666669999,14.666666666700001,1.23693303205,0.666666666667,1.0,1.57142857143,1.48442906574,0.0,0.0,2.0,0.740484429066,0.0,1.0,1.0,3.36332179931,1.0,2.0,4.0,31.1660899654,6.0,16.0,40.0,4.3321799308,0.0,2.0,5.0,0.325259515571,0.0,0.0,0.0,6.64359861592,2.0,4.0,7.0,1.26643598616,0.0,0.0,0.0,4.81660899654,2.0,3.0,5.0,22.1660899654,3.0,8.0,21.0,11.217993079600001,0.0,0.0,4.0,0,Security,non-agent,git-hub
108,1.71428571429,0.0,0.0,1.0,1.8190730011000005,1.0,1.5,2.42857142857,9.00777115254,3.70588235294,6.0,12.0,1.01879214496,0.5,1.0,1.5,1.66233766234,0.0,1.0,3.0,0.597402597403,0.0,1.0,1.0,3.28571428571,1.0,2.0,4.0,21.558441558400002,7.0,13.0,23.0,3.32467532468,1.0,2.0,3.0,0.28571428571400004,0.0,0.0,0.0,5.72727272727,2.0,4.0,7.0,0.805194805195,0.0,0.0,0.0,4.662337662340001,2.0,3.0,6.0,14.506493506500002,6.0,11.0,19.0,4.19480519481,0.0,1.0,7.0,0,Security,non-agent,git-hub
109,0.2,0.0,0.0,0.0,3.66415584416,1.0,1.36363636364,2.0,22.26,4.25,8.0,18.5,0.808268398268,0.5,0.8,1.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.5,1.25,2.0,3.0,47.9,5.75,10.5,37.25,22.6,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.5,2.25,3.5,5.75,0.0,0.0,0.0,0.0,3.5,2.0,3.0,4.75,50.4,3.0,8.5,15.75,0.6,0.0,0.0,0.0,0,Security,non-agent,git-hub
110,2.07063711911,0.0,0.0,2.0,1.86947087242,1.0,1.33333333333,2.12152777778,8.57326667565,3.5,5.8,10.3333333333,1.04211987247,0.5,1.0,1.2765151515200002,1.95429362881,0.0,1.0,2.0,0.7091412742380001,0.0,0.0,1.0,3.40997229917,1.0,2.0,4.0,22.542936288099998,4.0,10.0,23.0,2.10387811634,0.0,1.0,2.0,0.289473684211,0.0,0.0,0.0,6.983379501389999,2.0,4.0,8.0,0.663434903047,0.0,0.0,0.0,5.79778393352,2.0,3.0,7.0,20.5443213296,3.0,8.5,21.0,9.41412742382,0.0,1.0,6.0,0,Security,non-agent,git-hub
111,2.51176470588,0.0,0.0,2.0,1.46080764086,1.0,1.0,1.5,8.43009232175,3.46875,5.666666666669999,10.0,0.967619067208,0.5,0.8571428571430001,1.2,2.02647058824,0.0,1.0,3.0,0.808823529412,0.0,0.0,1.0,2.40294117647,1.0,2.0,2.0,17.5588235294,4.0,9.5,21.0,2.70882352941,0.0,2.0,3.0,0.394117647059,0.0,0.0,0.0,5.12941176471,3.0,4.0,6.0,0.508823529412,0.0,0.0,0.0,4.02647058824,2.0,3.0,5.0,16.3558823529,6.0,11.0,20.25,5.5470588235300005,0.0,2.0,6.0,0,Security,non-agent,git-hub
112,2.31007751938,0.0,0.0,2.0,2.63329521539,1.0,1.8,3.0,23.5221958463,7.42857142857,14.6,28.4,1.7209500505000002,1.0,1.5,2.0,1.89147286822,0.0,1.0,3.0,0.790697674419,0.0,0.0,1.0,3.65891472868,1.0,2.0,5.0,45.9534883721,13.0,25.0,56.0,2.0,0.0,1.0,3.0,0.46511627907,0.0,0.0,0.0,5.49612403101,2.0,5.0,6.0,0.186046511628,0.0,0.0,0.0,5.02325581395,2.0,4.0,6.0,14.2403100775,5.0,9.0,18.0,6.50387596899,0.0,2.0,7.0,0,Security,non-agent,git-hub
113,2.25828970332,0.0,0.0,1.0,1.93674091092,1.0,1.0,1.84294871795,34.527050290300004,3.0,7.0,16.0,1.44652137635,1.0,1.0,2.0,2.70593368237,0.0,1.0,2.0,0.460732984293,0.0,0.0,1.0,5.17626527051,1.0,2.0,4.0,52.57504363,4.0,10.5,34.0,2.10994764398,0.0,0.0,2.0,0.25479930192,0.0,0.0,0.0,7.993019197210001,1.0,2.0,7.0,1.01134380454,0.0,0.0,1.0,7.171029668410001,1.0,2.0,6.0,27.661431064600002,2.0,6.0,16.0,58.3385689354,0.0,1.0,6.0,0,Security,non-agent,git-hub
114,0.609523809524,0.0,0.0,0.0,1.90245691804,1.0,1.0,1.0,8.6069246417,3.0,5.0,8.0,0.438908487667,0.0,0.0,0.666666666667,0.485714285714,0.0,0.0,1.0,0.304761904762,0.0,0.0,0.0,2.11428571429,1.0,1.0,2.0,15.142857142899999,5.0,6.0,13.0,3.37142857143,1.0,2.0,4.0,0.171428571429,0.0,0.0,0.0,4.59047619048,2.0,2.0,3.0,3.14285714286,0.0,1.0,4.0,4.4,2.0,2.0,3.0,11.8666666667,3.0,4.0,9.0,2.3142857142900004,0.0,0.0,1.0,0,Security,non-agent,git-hub
115,1.77097111034,0.0,0.0,1.0,1.29705487407,1.0,1.0,1.27272727273,7.16588870872,3.125,5.5,9.0,0.7367124657449999,0.0,0.666666666667,1.0,1.4194222067500002,0.0,1.0,2.0,0.8106508875740001,0.0,1.0,1.0,3.07483466759,1.0,2.0,3.0,13.154194222100001,4.0,8.0,16.0,1.9039331709,0.0,1.0,3.0,0.376261747302,0.0,0.0,0.0,4.96380090498,2.0,3.0,6.0,0.125652627915,0.0,0.0,0.0,4.04316045945,1.0,3.0,5.0,13.9533588583,3.0,6.0,15.0,6.501566307,0.0,1.0,5.0,0,Security,non-agent,git-hub
116,0.386206896552,0.0,0.0,1.0,1.25454022989,1.0,1.0,1.0,6.43503980821,3.0,4.0,7.42857142857,0.726946402658,0.0,0.7272727272730001,1.0,0.337931034483,0.0,0.0,0.0,0.434482758621,0.0,0.0,1.0,3.83448275862,1.0,2.0,3.0,8.35172413793,3.0,5.0,11.0,2.25517241379,0.0,1.0,3.0,0.07586206896549999,0.0,0.0,0.0,5.24137931034,1.0,3.0,7.0,0.17931034482799998,0.0,0.0,0.0,5.03448275862,1.0,3.0,6.0,9.20689655172,2.0,6.0,15.0,0.737931034483,0.0,0.0,0.0,0,Security,non-agent,git-hub
117,1.21739130435,0.0,0.0,1.0,1.47870961567,1.0,1.0,1.8,7.367259069430001,3.0,5.8,11.5,0.691718346066,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.724637681159,0.0,0.0,1.0,1.76811594203,1.0,1.0,2.0,14.8985507246,3.0,9.0,22.0,1.69565217391,0.0,1.0,3.0,0.304347826087,0.0,0.0,0.0,4.27536231884,1.0,3.0,6.0,0.0434782608696,0.0,0.0,0.0,3.55072463768,1.0,2.0,4.0,11.1014492754,1.0,6.0,17.0,1.8115942029,0.0,0.0,2.0,0,Security,non-agent,git-hub
118,1.64285714286,0.0,0.5,4.0,2.3440038377700003,1.0,1.875,3.02727272727,25.3243898873,9.375,21.15,40.03125,1.45389674474,1.0,1.3166666666700002,1.7,2.14285714286,0.0,0.0,2.25,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.5,70.1071428571,13.0,57.0,90.5,4.1428571428600005,0.0,0.5,5.5,0.0,0.0,0.0,0.0,9.39285714286,2.0,2.5,10.25,4.1428571428600005,0.0,0.5,5.5,9.39285714286,2.0,2.5,10.25,35.6428571429,3.0,4.5,43.25,6.5,0.0,0.0,6.5,0,Security,non-agent,git-hub
120,0.176470588235,0.0,0.0,0.0,2.08088235294,1.0,1.0,2.14285714286,16.1155462185,4.0,6.0,17.928571428599998,1.18592436975,0.5,1.0,1.5,0.529411764706,0.0,0.0,1.0,0.647058823529,0.0,1.0,1.0,1.35294117647,1.0,1.0,1.0,28.705882352899998,4.0,7.0,39.0,1.94117647059,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.94117647059,1.0,2.0,3.0,0.235294117647,0.0,0.0,0.0,2.70588235294,0.0,1.0,1.0,12.5294117647,1.0,4.0,7.0,1.0,0.0,0.0,1.0,0,Security,non-agent,git-hub
121,0.6857142857140001,0.0,0.0,1.0,2.13851970545,1.0,1.5,2.25,13.5034067524,4.0,8.0,16.8,1.05570166172,0.631578947368,1.0,1.4,1.25714285714,0.0,1.0,2.0,0.771428571429,0.0,1.0,1.0,2.8476190476200003,1.0,2.0,3.0,27.380952381,5.0,16.0,40.0,4.19047619048,0.0,2.0,4.0,0.161904761905,0.0,0.0,0.0,6.904761904760001,2.0,4.0,7.0,0.7428571428569999,0.0,0.0,0.0,6.08571428571,2.0,3.0,5.0,21.4476190476,4.0,11.0,25.0,3.42857142857,0.0,1.0,4.0,0,Security,non-agent,git-hub
122,1.83516483516,0.0,1.0,2.0,1.66366782164,1.0,1.33333333333,2.0,7.5361395918,3.33333333333,5.85714285714,8.825,0.8930307000130001,0.5590277777780001,1.0,1.08846153846,1.67032967033,0.0,0.0,3.0,0.802197802198,0.0,1.0,1.0,3.38461538462,1.0,3.0,5.0,19.4395604396,5.0,11.0,26.5,2.94505494505,0.0,1.0,3.5,0.32967032967,0.0,0.0,0.0,6.65934065934,2.0,5.0,9.5,0.846153846154,0.0,0.0,0.0,5.2197802197800005,2.0,4.0,7.0,18.5164835165,4.0,11.0,28.5,7.58241758242,0.0,0.0,10.0,0,Security,non-agent,git-hub
123,2.35526315789,0.0,0.0,1.0,2.50463017358,1.0,1.43650793651,2.6964285714300003,11.783633953599999,3.70238095238,6.583333333330001,14.5,0.934791811327,0.5,0.720779220779,1.11111111111,2.4298245614,0.0,1.0,4.0,0.745614035088,0.0,1.0,1.0,5.39035087719,1.75,3.0,7.0,35.201754386,6.75,15.0,42.0,3.06578947368,1.0,2.0,3.0,0.293859649123,0.0,0.0,0.0,9.61403508772,3.0,6.0,12.0,0.855263157895,0.0,0.0,0.0,7.890350877189999,2.0,4.0,10.0,28.3289473684,5.0,14.5,29.25,17.6973684211,0.0,3.0,12.0,0,Security,non-agent,git-hub
124,0.483870967742,0.0,0.0,1.0,2.63194789082,1.125,2.0,3.05,23.5725775553,5.0,11.2,28.8230769231,1.1563641463,0.798076923077,1.0,1.4,0.41935483871,0.0,0.0,1.0,0.354838709677,0.0,0.0,1.0,3.45161290323,1.0,1.0,3.0,62.3870967742,6.0,25.0,68.0,6.32258064516,0.0,1.0,9.5,0.193548387097,0.0,0.0,0.0,9.419354838710001,2.0,5.0,9.5,1.87096774194,0.0,0.0,0.0,8.03225806452,2.0,4.0,7.5,24.645161290300003,3.0,14.0,31.0,2.51612903226,0.0,0.0,1.0,0,Security,non-agent,git-hub
128,1.82352941176,0.0,0.0,1.0,1.41573357248,1.0,1.0,1.73333333333,6.63607182854,3.0,5.0,8.916666666669999,0.8060226827779999,0.133333333333,0.8,1.1833333333299998,0.865546218487,0.0,0.0,1.0,0.596638655462,0.0,0.0,1.0,2.11764705882,1.0,2.0,3.0,12.5294117647,3.0,8.0,18.0,3.3445378151300003,0.0,1.0,4.0,0.226890756303,0.0,0.0,0.0,4.52941176471,1.0,3.0,6.0,0.210084033613,0.0,0.0,0.0,2.81512605042,1.0,2.0,3.0,13.6722689076,2.0,6.0,14.0,2.26050420168,0.0,0.0,2.0,0,Security,non-agent,git-hub
130,4.25548589342,0.0,0.0,2.0,0.8555809394230001,0.0,0.0,1.0,7.422654065589999,0.0,0.0,5.0,0.5974781347829999,0.0,0.0,1.0,1.26175548589,0.0,0.0,0.0,0.166144200627,0.0,0.0,0.0,1.80407523511,0.0,0.0,1.0,21.0768025078,0.0,0.0,6.0,5.2445141065800005,1.0,3.0,6.0,0.032915360501599995,0.0,0.0,0.0,3.5438871473400004,0.0,0.0,2.0,4.3197492163,0.0,2.0,5.0,3.2711598746099995,0.0,0.0,2.0,15.2131661442,0.0,0.0,5.0,15.3871473354,0.0,0.0,0.0,0,Security,non-agent,git-hub
132,2.07022900763,0.0,0.0,1.0,1.4213733154799997,1.0,1.0,1.45299145299,7.06067400454,3.0,5.0,8.5,0.8354140901549999,0.225,0.615384615385,1.2,1.98015267176,0.0,1.0,3.0,1.27938931298,1.0,1.0,2.0,3.94351145038,1.0,3.0,5.0,14.4687022901,3.0,9.0,19.0,2.71908396947,0.0,1.0,3.0,0.476335877863,0.0,0.0,0.0,6.7190839694700015,3.0,5.0,8.0,0.6946564885500001,0.0,0.0,0.0,5.66717557252,2.0,3.0,7.0,21.6778625954,5.0,13.0,28.0,8.07480916031,0.0,2.0,8.0,0,Security,non-agent,git-hub
133,3.31907894737,0.0,1.0,3.0,1.95375605645,1.0,1.5,2.5,11.12405283,3.9375,7.5,14.2965686275,1.17088405462,0.6,1.0,1.51546556122,3.55921052632,0.0,2.0,4.0,0.654605263158,0.0,0.0,1.0,3.3947368421099995,1.0,2.0,4.0,33.319078947399994,6.0,14.5,39.25,5.059210526319999,1.0,2.0,6.0,0.286184210526,0.0,0.0,0.0,9.45723684211,2.0,5.0,10.25,1.8125,0.0,0.0,1.0,7.21052631579,2.0,4.0,8.0,39.6842105263,5.0,12.5,35.25,15.940789473699999,0.0,4.0,12.0,0,Security,non-agent,git-hub
134,1.34078212291,0.0,0.0,2.0,2.40107466766,1.0,1.5,3.25,11.962419889000001,3.0,7.5,18.0833333333,0.873763450898,0.5,0.714285714286,1.0,1.6033519553100002,0.0,0.0,2.0,0.754189944134,0.0,1.0,1.0,5.9217877095,1.0,3.0,6.0,20.927374301700002,3.0,12.0,30.0,3.65921787709,0.0,2.0,4.0,0.27374301676,0.0,0.0,0.0,7.424581005589999,2.0,4.0,7.0,0.195530726257,0.0,0.0,0.0,6.709497206699999,1.0,3.0,6.0,18.3519553073,4.0,10.0,19.5,13.234636871500001,0.0,0.0,3.0,0,Security,non-agent,git-hub
135,1.97927090779,0.0,0.0,1.0,1.36742068432,1.0,1.0,1.44444444444,6.939659056519999,2.5,4.66666666667,8.41428571429,1.48287797274,0.5,1.0,2.0,2.20371694067,0.0,1.0,3.0,0.421015010722,0.0,0.0,1.0,5.043602573269999,2.0,3.0,5.0,15.3645461044,3.0,8.0,19.0,2.4681915654,0.0,0.0,2.0,0.29735525375300004,0.0,0.0,0.0,7.14224446033,2.0,4.0,8.0,0.3924231594,0.0,0.0,0.0,5.72837741244,1.0,3.0,6.0,19.6754824875,2.0,6.0,17.0,23.3666904932,0.0,2.0,12.0,0,Security,non-agent,git-hub
136,0.9565217391299998,0.0,0.0,2.0,1.3975395779700002,1.0,1.16666666667,1.5,6.6428048602,3.25,6.0,8.181818181819999,0.769055984273,0.333333333333,0.666666666667,1.0,0.927536231884,0.0,0.0,1.0,0.347826086957,0.0,0.0,1.0,2.1884057971,1.0,2.0,2.0,10.3188405797,4.0,8.0,12.0,1.2608695652200002,0.0,1.0,2.0,0.0724637681159,0.0,0.0,0.0,3.55072463768,2.0,3.0,5.0,0.304347826087,0.0,0.0,0.0,2.63768115942,1.0,2.0,4.0,8.057971014489999,2.0,6.0,11.0,2.75362318841,0.0,0.0,2.0,0,Security,non-agent,git-hub
137,1.60693641618,0.0,0.0,1.0,2.10071537985,1.0,1.2,2.25,10.9546450025,4.3684210526300005,8.0,14.0,1.2424247943100002,0.333333333333,1.0,2.0,1.42196531792,0.0,1.0,2.0,0.8208092485549999,0.0,1.0,1.0,3.76300578035,1.0,2.0,4.0,22.0346820809,7.0,15.0,31.0,2.1098265896,0.0,1.0,3.0,0.456647398844,0.0,0.0,0.0,6.03468208092,2.0,4.0,7.0,0.173410404624,0.0,0.0,0.0,5.38728323699,2.0,3.0,7.0,16.0462427746,4.0,11.0,19.0,5.17919075145,0.0,2.0,4.0,0,Security,non-agent,git-hub
139,2.29559748428,0.0,0.0,2.0,2.32924098072,1.0,1.82575757576,2.90079365079,18.5617344869,5.04166666667,11.316666666700002,18.673255814,1.10863969104,0.666666666667,1.0,1.5,2.85534591195,0.0,1.0,4.0,0.877358490566,0.0,1.0,1.0,3.25157232704,1.0,2.0,4.0,42.072327044,9.0,25.0,54.75,5.42452830189,1.0,3.0,8.0,0.377358490566,0.0,0.0,0.0,7.76729559748,3.0,5.0,9.0,1.21698113208,0.0,0.0,1.0,6.116352201259999,2.0,4.0,7.0,29.534591195,5.25,15.0,34.0,16.8553459119,0.0,2.0,10.0,0,Security,non-agent,git-hub
140,0.446428571429,0.0,0.0,0.0,1.5316800977899998,1.0,1.21111111111,1.83333333333,9.234030979360002,3.95,6.61111111111,11.708333333299999,0.875703838996,0.0,0.666666666667,1.3557692307700002,0.16964285714299998,0.0,0.0,0.0,0.7321428571430001,0.0,1.0,1.0,4.0178571428600005,1.0,3.0,5.0,21.071428571400002,5.0,14.0,25.25,2.1339285714300003,0.0,1.0,3.0,0.28571428571400004,0.0,0.0,0.0,6.54464285714,3.0,5.0,7.25,0.133928571429,0.0,0.0,0.0,5.4553571428600005,2.0,4.0,6.0,11.794642857100001,3.0,5.5,16.0,0.651785714286,0.0,0.0,0.0,0,Security,non-agent,git-hub
141,0.771428571429,0.0,0.0,0.75,3.41042888064,1.375,2.39393939394,4.0,18.007310760699998,6.5,14.0714285714,26.28125,1.4649202226299998,0.90625,1.5,2.0,1.3,0.0,1.0,2.0,0.657142857143,0.0,1.0,1.0,2.98571428571,1.0,1.0,2.0,31.2428571429,11.25,22.0,38.25,2.18571428571,0.0,1.0,2.0,0.271428571429,0.0,0.0,0.0,5.12857142857,1.0,2.0,4.0,0.185714285714,0.0,0.0,0.0,3.17142857143,1.0,2.0,3.0,14.542857142899999,3.0,5.0,9.5,3.45714285714,0.0,1.0,3.0,0,Security,non-agent,git-hub
142,0.987951807229,0.0,0.0,1.0,2.11083345947,1.0,2.0,2.3058035714300003,14.576124939200001,6.0,9.03125,16.0,1.5389268358,1.0,1.66666666667,2.0,1.04819277108,0.0,1.0,1.0,0.259036144578,0.0,0.0,0.0,2.92168674699,1.0,2.0,3.0,27.8192771084,8.25,15.5,38.75,2.04819277108,0.0,1.0,2.0,0.156626506024,0.0,0.0,0.0,6.42771084337,1.0,3.0,9.0,0.674698795181,0.0,0.0,0.0,5.7951807228900005,1.0,3.0,8.0,15.9638554217,2.0,6.0,16.0,3.1686746988,0.0,1.0,4.0,0,Security,non-agent,git-hub
143,1.70802919708,0.0,0.0,2.0,1.4137860418,1.0,1.08545454545,1.5,7.68614651206,4.0,6.30952380952,9.45833333333,0.8251582479549999,0.357142857143,0.809090909091,1.12006578947,1.61313868613,0.0,1.0,3.0,0.543795620438,0.0,0.0,1.0,3.20437956204,1.0,2.0,3.0,14.8211678832,5.0,11.0,19.0,2.79927007299,0.0,2.0,4.0,0.164233576642,0.0,0.0,0.0,5.60948905109,2.0,4.0,7.0,0.697080291971,0.0,0.0,0.0,4.14598540146,1.0,3.0,5.0,15.8868613139,4.0,9.0,21.0,7.25547445255,0.0,2.0,5.0,0,Security,non-agent,git-hub
144,2.8125,1.0,2.0,4.0,5.693614631900001,3.2237762237800003,4.49145299145,6.291666666669999,28.8098096348,16.3522727273,21.1826923077,33.3458333333,1.7944565850799998,1.24305555556,1.77307692308,1.95833333333,4.0,1.75,2.0,6.25,0.0,0.0,0.0,0.0,3.375,1.0,2.5,5.0,89.25,40.25,56.0,76.5,1.1875,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.8125,4.0,10.0,12.25,1.1875,0.0,0.0,3.0,8.8125,4.0,10.0,12.25,38.0,11.25,34.5,53.25,11.75,3.5,6.5,18.0,0,Security,non-agent,git-hub
145,2.48427672956,0.0,0.0,1.0,1.9473751292400003,1.0,1.3548951049000002,2.4,11.671170706300002,4.64375,8.75,15.5535714286,0.631993607162,0.0,0.5,1.0,2.34591194969,0.0,1.0,4.0,1.02830188679,0.0,1.0,1.0,3.41194968553,1.0,2.0,4.0,28.1698113208,7.0,19.0,38.0,3.8427672956,0.0,1.0,4.0,0.471698113208,0.0,0.0,0.0,7.7232704402499985,3.0,5.0,9.0,0.735849056604,0.0,0.0,0.0,6.17295597484,2.0,3.0,6.0,25.8238993711,4.0,14.0,33.0,8.94025157233,0.0,2.0,8.0,0,Security,non-agent,git-hub
146,2.87951807229,0.0,0.0,1.0,1.50988389932,1.0,1.0,1.80454545455,8.94953067163,4.0,7.95,12.5427350427,0.824548324434,0.128024193548,0.714285714286,1.3141025641,2.48795180723,0.0,1.0,4.0,0.6626506024100001,0.0,0.0,1.0,3.4427710843400003,1.0,2.0,4.0,15.4307228916,5.0,13.0,21.0,3.4397590361400003,0.0,2.0,5.0,0.387048192771,0.0,0.0,0.0,5.52409638554,2.0,4.0,7.0,0.822289156627,0.0,0.0,0.0,4.08584337349,1.0,3.0,5.0,18.147590361400002,4.0,10.0,22.0,12.5436746988,0.0,3.0,8.0,0,Security,non-agent,git-hub
147,2.05555555556,0.0,1.0,3.0,2.9366176107200004,1.475,2.0,3.19047619048,19.9350328124,6.88333333333,12.9656432749,27.40625,1.1596853233700002,0.581196581197,1.0,1.3125,2.11111111111,1.0,1.0,3.0,0.694444444444,0.0,1.0,1.0,2.44444444444,1.0,1.0,2.25,60.638888888900006,16.0,27.0,71.0,6.61111111111,0.75,2.0,7.5,0.111111111111,0.0,0.0,0.0,9.97222222222,2.0,5.0,13.25,0.916666666667,0.0,0.0,1.25,8.083333333330001,2.0,4.5,13.0,39.3611111111,7.75,21.0,49.75,4.222222222219998,1.0,2.0,6.0,0,Security,non-agent,git-hub
148,2.45442708333,0.0,0.0,1.0,1.60748132374,1.0,1.0,1.87058823529,10.2927113338,1.25,4.41428571429,11.2878787879,1.41765277676,0.5,1.05119047619,2.0,1.53255208333,0.0,0.0,2.0,1.42708333333,0.0,1.0,2.0,3.89192708333,1.0,2.0,4.0,23.9557291667,2.0,9.0,27.0,1.44140625,0.0,0.0,2.0,0.4921875,0.0,0.0,0.0,6.016927083330001,1.0,3.0,7.0,0.59375,0.0,0.0,0.0,5.29817708333,1.0,2.0,6.0,15.190104166700001,2.0,5.0,14.0,9.99869791667,0.0,0.0,5.0,0,Security,non-agent,git-hub
149,3.21377672209,0.0,0.0,1.0,2.4306343712,1.0,1.5,2.4,40.2591578004,6.0,14.0,44.5454545455,1.8896212661200005,1.0,2.0,2.16666666667,3.42280285036,2.0,3.0,4.0,0.230403800475,0.0,0.0,0.0,3.93349168646,1.0,2.0,5.0,66.3135391924,12.0,29.0,79.0,1.93586698337,0.0,0.0,2.0,0.0902612826603,0.0,0.0,0.0,6.123515439430001,1.0,4.0,7.0,0.8076009501189999,0.0,0.0,0.0,5.73396674584,1.0,3.0,7.0,20.8527315914,4.0,10.0,24.0,17.5344418052,2.0,6.0,16.0,0,Security,non-agent,git-hub
150,1.87894736842,0.0,0.0,2.0,1.26862183691,1.0,1.0,1.29120879121,8.21665856671,3.5,6.36666666667,11.4612068966,0.699744582291,0.0,0.666666666667,1.0,1.51052631579,0.0,1.0,2.0,0.626315789474,0.0,0.0,1.0,2.79210526316,1.0,2.0,3.0,14.4184210526,4.0,9.5,20.0,1.85789473684,0.0,1.0,3.0,0.415789473684,0.0,0.0,0.0,5.34473684211,2.0,3.5,7.0,0.08684210526319999,0.0,0.0,0.0,4.1157894736800005,1.0,3.0,5.0,15.271052631600002,3.0,8.0,19.0,7.15526315789,0.0,1.0,4.0,0,Security,non-agent,git-hub
151,1.57971014493,0.0,0.0,2.0,2.22229923211,1.0,1.46428571429,2.61875,14.5592577921,3.0,7.21875,17.491666666700002,1.50635610873,0.666666666667,1.26136363636,2.18289473684,1.86956521739,0.0,1.0,2.75,0.68115942029,0.0,1.0,1.0,2.76811594203,1.0,2.0,3.0,41.9710144928,3.0,17.5,48.75,2.72463768116,0.0,1.0,4.0,0.239130434783,0.0,0.0,0.0,6.24637681159,2.25,4.0,8.0,0.224637681159,0.0,0.0,0.0,4.8768115942,2.0,3.0,6.75,22.6014492754,4.0,13.0,29.5,6.52898550725,0.0,1.0,4.0,0,Security,non-agent,git-hub
152,1.83510638298,0.0,0.0,2.0,2.3691905707700003,1.0,1.5,2.23557692308,20.1457884428,3.375,6.03571428571,11.1,1.4852139126,0.75,1.34375,2.0,1.9255319148900003,0.0,1.0,2.0,0.20212765957400006,0.0,0.0,0.0,3.7234042553199993,1.0,1.0,4.0,34.1063829787,4.0,9.0,26.25,2.65957446809,0.0,2.0,3.0,0.08510638297869999,0.0,0.0,0.0,6.92553191489,1.0,2.0,8.0,1.73936170213,0.0,0.0,2.0,6.10638297872,1.0,2.0,8.0,20.329787234,2.0,6.0,21.25,9.90957446809,0.0,1.0,5.25,0,Security,non-agent,git-hub
153,0.8421052631579999,0.0,0.0,1.0,1.92603184564,1.0,1.33928571429,2.20881226054,10.4649284284,3.0,9.0,12.972222222200001,0.894039850153,0.511363636364,0.896761133603,1.10714285714,0.868421052632,0.0,0.0,1.0,0.578947368421,0.0,1.0,1.0,2.84210526316,1.0,2.0,3.0,29.763157894699997,4.25,13.0,39.5,5.315789473680001,1.0,2.5,5.75,0.0,0.0,0.0,0.0,5.97368421053,2.0,3.0,7.0,1.4210526315799998,0.0,0.0,1.0,4.39473684211,2.0,2.5,5.75,19.078947368399998,3.0,5.5,19.25,5.76315789474,0.0,0.0,2.75,0,Security,non-agent,git-hub
154,0.852941176471,0.0,0.0,2.0,1.86890397185,1.0,1.4142857142899998,2.32777777778,10.9795922215,4.31428571429,8.51388888889,12.175,0.792155067155,0.5,0.8375,1.0,0.7352941176469999,0.0,1.0,1.0,0.558823529412,0.0,1.0,1.0,2.55882352941,1.0,2.0,3.0,27.0,8.25,15.5,33.75,2.58823529412,0.0,1.5,3.0,0.176470588235,0.0,0.0,0.0,6.02941176471,2.0,4.5,8.75,0.294117647059,0.0,0.0,0.0,5.117647058819999,2.0,4.0,7.0,15.2058823529,4.25,10.0,24.5,1.85294117647,0.0,1.0,2.75,0,Security,non-agent,git-hub
